filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
segment_76.wav,661500,0.4616829,0.079985596,0.30790314,0.0075853853,3546.2978651641165,1232380.5270144858,3189.6007815371813,231109.2049068174,7493.388021841138,3348830.470593705,0.1567216524767802,0.0050989039729527254,9.252511e-06,0.05214625,0.0008562171,0.026560787,[83.35433468],-8.596646,2687.0461,45.442303,687.0282,19.386734,385.6629,28.21055,135.85287,17.829586,95.221825,12.244361,107.74739,3.0276558,66.15662,5.6724243,57.909527,9.635974,70.48055,7.847213,78.94009,6.0265064,61.63493,7.471048,67.176605,0.14262508,73.952736,-7.0333505,59.348503,-4.3997464,70.314835,-0.34293732,70.3338,4.738483,82.491325,6.008693,95.45495,5.3419414,77.11761,4.1154213,94.422005,wav_notcueca
segment_77.wav,355931,0.47103736,0.08327253,0.27976978,0.015920084,3262.194736189851,1122445.5237687542,2883.2916547164864,464123.68858609797,6710.949601798222,4073269.908361383,0.14605712890625,0.004561197526496032,4.8250354e-06,0.053652186,0.00076104107,0.017108943,[83.35433468],-50.354507,15042.202,48.47805,721.35455,2.793384,746.9876,32.436985,179.89194,13.510182,255.8902,16.265387,101.12855,8.421359,76.794586,11.882161,61.033894,7.6380973,60.592712,0.2368592,176.9608,4.3964,53.044228,8.966793,53.247902,4.4398465,43.83085,0.71925,48.76788,-0.9302777,36.507862,-2.6202579,33.154205,-1.4771692,29.696438,2.9613044,77.8893,-1.5848724,40.455353,-0.47262013,73.91732,wav_notcueca
segment_78.wav,661500,0.35609302,0.09353072,0.24400446,0.00858708,4466.8422616768,907440.155121118,3260.5887261077164,98708.8804011225,8472.748766447368,1578924.0937551924,0.25811862059791024,0.011022858240040194,-0.0049722428,0.027515545,-0.0031744102,0.02198036,[83.35433468],-26.87426,3627.0332,18.469725,524.2057,17.80402,245.9413,17.585577,136.11919,9.883657,124.68878,1.7868568,114.17867,2.3501236,86.50277,5.2889924,100.18961,5.6190743,99.34754,2.7503076,109.40267,6.1496644,159.81644,1.0608891,151.55492,-8.54792,147.15878,-5.9407754,106.03658,-4.893675,90.02466,-2.5776384,106.09051,1.135259,64.31823,-4.707066,66.46429,-4.729129,119.07566,-2.8540154,126.88545,wav_notcueca
segment_79.wav,661500,0.37325835,0.097550586,0.24846597,0.0087414775,4237.158007896118,1429241.3310559483,3429.251511649853,90249.20911995869,8507.64855541312,1667476.6578214744,0.2002319713864164,0.0134744606736814,-0.0044987965,0.024628546,-0.002783725,0.025697473,[83.35433468],-27.204134,3135.3289,39.140137,983.4191,33.809868,253.40254,7.0042953,246.02634,5.099142,248.40144,3.1781187,143.31195,1.7753392,99.872505,1.8442822,103.71521,1.2307671,94.93113,1.4899462,78.13822,-3.7317295,94.8398,-0.3021197,77.80464,-3.4252627,83.9762,-6.0047817,59.515045,-0.34659353,54.68137,-7.050311,52.024803,-4.890888,47.975716,-5.5949717,41.16278,-6.1427493,61.295727,-4.686018,49.481884,wav_notcueca
segment_8.wav,661500,0.37615255,0.08645496,0.33185956,0.00926577,4651.083989626208,1702343.6540553395,3551.005244309306,94523.71756441866,8904.937819725958,1686809.1264497375,0.22909423072271673,0.01563758170802152,1.0781807e-05,0.043749236,4.988161e-05,0.04168636,[99.38401442],-3.6550262,1930.007,31.9904,627.59503,52.319706,298.67355,19.313677,222.00145,11.686471,130.3253,6.2910285,113.23197,2.9129725,87.76866,-3.8276963,96.54596,-2.7202728,69.81504,-0.24441434,100.345215,-1.1817886,76.93248,-0.89643365,106.545906,-0.6968858,74.08021,-1.690113,80.608116,2.68614,102.70346,0.5732043,96.037285,-0.14222755,97.42976,1.5868182,63.34739,-0.85566133,75.066284,0.09561514,88.262115,wav_notcueca
segment_80.wav,661500,0.36025292,0.09787805,0.26583093,0.0074694497,4333.142947176765,1259334.6417410146,3403.1926932705387,105183.94790679902,8533.881730118033,1713995.7007867522,0.21472394724748453,0.013207319207629964,-0.004754423,0.027618608,-0.0028445777,0.026750743,[83.35433468],-13.634275,2527.4788,34.703598,775.65704,29.923199,280.88202,7.191593,182.18362,3.4851644,238.68164,3.0057304,147.3163,-0.23009895,126.459526,-0.32874703,112.78867,0.38942808,92.286835,1.893015,100.011734,-3.5595665,86.97261,-0.8906087,86.58236,-3.1270409,93.974754,-6.915681,68.05516,-1.5602291,51.53411,-8.987233,67.69429,-5.7469397,66.40163,-2.6344464,76.92375,-0.9569789,106.59317,-0.58435994,108.32157,wav_notcueca
segment_81.wav,661500,0.3309813,0.09355756,0.2659792,0.0064364895,4351.082871550627,1048285.2733831834,3329.2570906225965,115178.65265638997,8452.573888442095,1799067.6077111652,0.22986142185081268,0.010945990395705471,-0.0048581096,0.030931775,-0.0030916804,0.023911413,[83.35433468],-15.797711,2686.5146,27.051933,591.61444,22.447811,301.74966,13.846081,179.75351,9.164887,178.08258,1.9519488,117.05907,1.3838177,85.78425,3.2194774,108.29465,2.7431157,112.27377,2.2359045,111.41123,3.8454964,155.28932,2.246764,113.075165,-5.817805,119.34635,-6.0423603,91.650276,-3.4442165,79.932236,-5.094736,110.459946,-1.9263062,86.99826,-5.507054,62.621468,-3.953315,120.04574,-2.9395378,131.27434,wav_notcueca
segment_82.wav,661500,0.34709144,0.09553392,0.26002148,0.006516319,4248.092536021185,1128734.0217797158,3346.2758098148934,100035.39250625584,8393.390912980118,1686820.4896456471,0.2157662689870356,0.011092643097938145,-0.0047424827,0.029329961,-0.0030416145,0.02408696,[83.35433468],-16.280998,2731.627,34.14566,771.7295,26.852844,272.02255,9.390445,212.97083,3.1119182,262.53223,2.7573006,151.00061,1.9545008,117.861465,2.162468,96.70308,2.366676,97.59903,1.1182649,94.29781,-1.6672922,126.88318,2.018514,112.42843,-3.389916,119.44033,-6.074143,64.78919,-2.5936544,61.38684,-8.810831,68.51029,-4.985124,63.76455,-5.1393223,66.837746,-3.4896448,111.40691,-2.1856863,97.109856,wav_notcueca
segment_83.wav,661500,0.37442133,0.0963312,0.2459174,0.006679131,4417.7405366516805,1309281.4082983846,3425.372766253758,87437.03343331254,8638.681096410604,1602271.0536248165,0.2239049196981424,0.015710011864891345,-0.004807722,0.023257291,-0.0030378,0.023603894,[83.35433468],-19.026714,2833.3398,33.48687,722.5953,32.008297,226.0906,9.4425,140.58658,5.369677,213.90926,3.3377187,133.9548,0.41112968,90.13534,0.8142261,94.833885,0.8843927,87.530365,1.5476793,90.034065,-2.220729,89.88847,0.7721068,85.67877,-2.6239953,67.914566,-7.1798525,62.48643,-2.0531528,53.19004,-8.263708,62.02314,-5.138544,55.37907,-3.8091311,58.81229,-1.7843641,93.62009,-2.7683685,90.60519,wav_notcueca
segment_84.wav,394783,0.31512368,0.09757314,0.17072865,0.015001429,2971.2813056917157,3224552.419707307,2590.766710776257,1357130.4218907894,6037.511289922684,10763413.420007568,0.13433806266191708,0.013193725941149117,-0.0028581796,0.020264937,-0.0017042153,0.013159188,[83.35433468],-137.43651,31410.217,51.296364,1972.0198,13.81539,413.3942,15.220533,354.27527,2.3092837,154.27481,3.962317,101.72938,1.9037122,80.17785,0.9237685,69.47197,1.8783512,80.62529,0.58409166,78.45473,-1.0738693,80.43369,3.3972397,64.589584,1.4792417,90.61223,-3.1060545,69.05177,-2.8884048,45.920277,-5.0865283,73.79759,-1.956646,53.073784,-3.7054727,52.546955,-4.0039353,100.07352,-1.9954262,91.1081,wav_notcueca
